22:42:22.960 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:22.960 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:22.960 -> 0x3F8; 8; FF; 5; 4F; 1; FF; FF; FF; FF; 
22:42:22.960 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:22.960 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:22.960 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:22.960 -> 0x2D0; 8; FF; 73; 0; F9; F7; FC; FF; CF; 
22:42:22.960 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:22.960 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:22.960 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:22.960 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:22.960 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:22.960 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:22.960 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:22.960 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:22.960 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:22.960 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:22.960 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.008 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.008 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.008 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.008 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.008 -> 0x2BC; 8; FF; 53; 38; 0; 0; 26; 38; 59; 
22:42:23.008 -> 0x2AC; 8; FF; FF; FF; FF; FF; FF; FF; FF; 
22:42:23.008 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.008 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.008 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.008 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.008 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.008 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.008 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.008 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.008 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.008 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.008 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.008 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.008 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; *
22:42:23.008 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.008 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; *
22:42:23.008 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.056 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.056 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.056 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.056 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.056 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.056 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.056 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.056 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.056 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.056 -> 0x2D0; 8; FF; 73; 0; F9; F7; FC; FF; CF; *
22:42:23.056 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.056 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.056 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.056 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.056 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.056 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
